Title,Artist,Release Date
Once Again,Quality Control f. Lil Yachty &amp; Tee Grizzley,Aug 14
The Next Day,Freddie Gibbs &amp; Madlib f. Oh No,Aug 15
Ransom (Remix),Lil Tecca f. Juice WRLD,Aug 15
First Things First,Guapdad 4000 f. G-Eazy &amp; Reo Cragun,Aug 16
Won't Be Late,Swae Lee f. Drake,Aug 16
Wakanda,Peewee Longway,Aug 17
Legend,SOB X RBE,Aug 17
Boss,DP Beats f. Chief Keef,Aug 19
Uninvited,Valee f. Calboy,Aug 19
Bail Bond,Mozzy &amp; Gunplay,Aug 20
Next Up,Sada Baby f. Tee Grizzley,Aug 20
Get The Bag,Richard Jansen,Aug 21
Move,Skippa Da Flippa f. Young Thug,Aug 21
Everytime I See You Again,DWY,Aug 21
FlowerChild,Saint Bodhi,Aug 21
Rearview,Raphael Saadiq f. Kendrick Lamar,Aug 22
Action,Yung Mal f. Pi'erre Bourne &amp; Lil Gotit,Aug 22
Reverend,Smino,Aug 23
Never Lie,Wiz Khalifa f. Moneybagg Yo,Aug 23
Prada Process,Guapdad 4000 f. 6LACK,Aug 24
So Cold,Max B f. A Boogie Wit Da Hoodie,Aug 26
Show Me That You Love,Common f. Jill Scott &amp; Samora Pinderhughes,Aug 26
Sociopath,Pusha T f. Kash Doll,Aug 27
Bezerk,Big Sean f. A$AP Ferg,Aug 28
LL Cool J,Ras Kass f. Snoop Dogg,Aug 29
On The Bright Side ,Blockhead,Aug 29
Ride Dat,Birdman &amp; Juvenile f. Lil Wayne,Aug 30
UP,EARTHGANG,Aug 30
Sad Situations,Mozzy ,Aug 30
Dear God,KXNG Crooked,Aug 31
FTW,Aaron Rose f. Joey Bada$$ &amp; Chuck Strangers,Aug 31
Summer Is Cancelled,G Herbo,Aug 31
Circles ,Post Malone,Aug 31
Gimme Brain,Travis Barker f. Lil Wayne &amp; Rick Ross,Dec 13
Futsal Shuffle 2020,Lil Uzi Vert,Dec 13
Diamonds,Young Thug f. Gunna,Dec 22
Finesse The Beat,Blueface,Dec 22
All Me,Kehlani f. Keyshia Cole,Dec 22
Flossin' (Remix),Guapdad 4000 f. Snoop Dogg,Dec 23
Over It,Yung Pinch f. Wiz Khalifa,Dec 23
High Fashion,Roddy Ricch f. Mustard,Dec 6
Camelot (Remix),"NLE Choppa f. Yo Gotti, Moneybagg Yo &amp; Blocboy JB",Dec 6
Texas Cyclone,Sauce Walka f. Travis Scott,Dec 6
Lord Above,Fat Joe f. Eminem &amp; Mary J. Blige,Dec 7
Drive The Boat,Pop Smoke ,Dec 7
My City,Cam'ron f. Max B,Dec 8
My Oh My,Camila Cabello f. DaBaby,Dec 8
Booty,Tay Money f. DaBaby,Dec 8
Accomplishments,Lil Keed &amp; Lil Yachty (Prod. by Zaytoven),Dec 9
Voss,XXXTentacion f. Sauce Walka,Dec 9
Velvet,1$t,Dec 9
Hunnit Bands,G Herbo,Dec 9
Glocks &amp; Drums,Lil Mexico f. Lil Gotit,Dec 9
Drake War,Kwaejo,December 24
OUT WEST (feat. Young Thug),JACKBOYS,December 27
GANG GANG,JACKBOYS & Sheck Wes,December 27
GATTI,"JACKBOYS, Pop Smoke & Travis Scott",December 27
Keep It Tucked,Lil Haiti,December 27
WHAT TO DO? (feat. Don Toliver),JACKBOYS,December 27
HIGHEST IN THE ROOM (REMIX) [feat. ROSALÍA & Lil Baby],Travis Scott,December 27
Rap Up 2019,Uncle Murda,December 31
Black Jew,Future,Jan 2
U Played,MoneyBagg Yo &amp; Lil Baby,Jan 2
Kare Package EP,IAMDDB,Jan 3
Legacy,Coast Contra,Jan 3
Beach Ballin,Yung Pinch f. blackbear,Jan 3
20/20,Lil Tjay,January 1
U Played (feat. Lil Baby),Moneybagg Yo,January 3
Do It Koka,Kokane,Nov 13
Love &amp; Loyalty,Wale f. Mannywellz,Oct 1
Believe In Flee,Cam'ron,Oct 1
No Debating,Q Da Fool,Oct 1
Tootsies,Gucci Mane f. Lil Baby,Oct 11
"Nucleus, Vol. 1",MCskill ThaPreacha &amp; Teck Zilla,Oct 17
3 Tearz,Danny Brown f. Run The Jewels,Oct 2
Triggered (Freestyle),Jhené Aiko f. 21 Savage &amp; Summer Walker,Oct 2
Gangland ,Phonk P f. Mozzy &amp; Bonkerz,Oct 23
Bring Em All ,MC Eiht f. Cherell Teri,Oct 3
Big Dogs,"Curren$y, Trademark &amp; Young Roddy",Oct 9
Pain &amp; Struggle,Mozzy &amp; Gunplay f. E Mozzy,Sep 1
Truth Hurts (Remix),Lizzo f. DaBaby,Sep 1
Survival ,Bone Thugs-n-Harmony f. Ky-Mani Marley ,Sep 1
Just in Case,"Godfather of Harlem f. Swizz Beatz, Rick Ross &amp; DMX",Sep 10
Jump Off A Jet, Odalys f. MadeinTYO &amp; Lil Yachty,Sep 10
Flex (All Day),Young Lyxx,Sep 11
Thot Box,Hitmaka,Sep 11
No Stones,Kid Ink f. Casey Veggies,Sep 12
Behind Barz,Drake,Sep 13
Panini (Remix),Lil Nas X f. DaBaby,Sep 14
Stop Calling,MadeinTYO f. Key Glock &amp; Tay Money,Sep 16
All So New,Stalley,Sep 17
Sensei,SOB X RBE,Sep 18
Swap It Out,Lil Keed f. Lil Duke,Sep 19
I'll Be Good,Wiz Khalifa ,Sep 2
Family And Loyalty,Gang Starr f. J. Cole,Sep 20
Truck Jewels,Skyzoo &amp; Pete Rock,Sep 20
Stack It Up,Ronny J f. Lil Pump,Sep 23
Verify,Jacquees f. Young Thug &amp; Gunna,Sep 23
Nasty,DJ Drama f. PnB Rock &amp; Moneybagg Yo,Sep 24
Champagne,Eric Bellinger f. Wale &amp; Guapdad 4000,Sep 26
Trap Going Crazy,ILOVEMAKONNEN ,Sep 3
Hot,Young Thug f. Gunna,Sep 3
Really &amp; Truly,Wiz Khalifa ,Sep 4
Tito's Back,Conway The Machine f. Benny The Butcher &amp; Westside Gunn,Sep 4
Far Out,Homeboy Sandman ,Sep 4
Coming Home,Pusha T f. Lauryn Hill,Sep 5
Eastern Conference All-Stars,Skyzoo &amp; Pete Rock,Sep 6
Dirty Laundry,Danny Brown,Sep 7
When I Get It,O.T. Genasis f. Young Thug,Sep 7
Hallelujah,"Godfather of Harlem f. Buddy, A$AP Ferg &amp; Wale",Sep 9
